epoch,acc,loss,val_acc,val_loss
0,0.41864267,1.929146811052357,0.49607477,1.6484168026623907
1,0.49070895,1.6738837893105296,0.5280315,1.53650987679906
2,0.5126022,1.5996843641587977,0.543455,1.4899370892068289
3,0.5244559,1.5608917787259793,0.54973847,1.4648489986581525
4,0.5312496,1.5360207781383908,0.55286735,1.4482130045100432
5,0.5361438,1.5191942632818243,0.55597055,1.4374078514163915
6,0.53953284,1.5084280728657864,0.5578664,1.4314846610080731
7,0.5413444,1.4989432225362629,0.5605432,1.4241638460857415
8,0.5437026,1.492896539972454,0.56215644,1.4194362738784656
9,0.54539716,1.485639873753456,0.56215644,1.4185703254919273
10,0.5473248,1.4807944643804996,0.56335866,1.4136480193814336
11,0.5480528,1.4765515442235502,0.5646688,1.412599746135752
12,0.5488353,1.47386386328207,0.56534183,1.41167908620241
13,0.54937744,1.471365026916558,0.5659532,1.4093552505261133
14,0.55025417,1.4680792515698498,0.56576824,1.406254794783595
15,0.5510022,1.465807089226123,0.5659583,1.4052575443693982
16,0.55160147,1.4631716258873597,0.56668276,1.405088551992391
17,0.55219173,1.4611217930162188,0.5676692,1.4010028192371013
18,0.55267954,1.4599299410136322,0.5676692,1.4018313666880708
19,0.55291796,1.4594528552071266,0.5678953,1.4011033958093195
20,0.5535164,1.4584933560229552,0.5668369,1.4024722858586491
21,0.55348825,1.4575694232010634,0.56878924,1.399323401965436
22,0.5539824,1.4577077644950838,0.5688304,1.398890885344798
23,0.55444115,1.4561159545524578,0.5684656,1.4006766462018836
24,0.55365056,1.4553752768491846,0.56863,1.4006542897888095
